Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Pseudomonas sp. S49 chromosome, complete genome",Pseudomonas sp. S49,501,501,24%,1e-136,94.22,6659551,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP019432.1?report=genbank&log$=nucltop&blast_rank=1&RID=0G3YE1AR016"",""CP019432.1"")"
"Pseudomonas sp. P108 chromosome, complete genome",Pseudomonas sp. P108,496,496,24%,5e-135,93.92,6631596,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP126691.1?report=genbank&log$=nucltop&blast_rank=2&RID=0G3YE1AR016"",""CP126691.1"")"
"Pseudomonas fluorescens strain CFBP2392 chromosome, complete genome",Pseudomonas fluorescens,496,496,24%,5e-135,93.92,6656414,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP133209.1?report=genbank&log$=nucltop&blast_rank=3&RID=0G3YE1AR016"",""CP133209.1"")"
"Pseudomonas sp. ZY71 chromosome, complete genome",Pseudomonas sp. ZY71,496,496,24%,5e-135,93.92,6693135,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP144274.1?report=genbank&log$=nucltop&blast_rank=4&RID=0G3YE1AR016"",""CP144274.1"")"
"Pseudomonas sp. RU47 chromosome, complete genome",Pseudomonas sp. RU47,496,496,24%,5e-135,93.92,6663463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP022411.1?report=genbank&log$=nucltop&blast_rank=5&RID=0G3YE1AR016"",""CP022411.1"")"
Pseudomonas sp. SCA2728.1_7 chromosome,Pseudomonas sp. SCA2728.1_7,494,494,22%,2e-134,96.35,6782830,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP073104.1?report=genbank&log$=nucltop&blast_rank=6&RID=0G3YE1AR016"",""CP073104.1"")"
"Pseudomonas zeae strain OE 48.2 chromosome, complete genome",Pseudomonas zeae,488,488,22%,9e-133,96.01,6630739,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP077090.1?report=genbank&log$=nucltop&blast_rank=7&RID=0G3YE1AR016"",""CP077090.1"")"
"Pseudomonas sp. B33.4 chromosome, complete genome",Pseudomonas sp. B33.4,484,484,24%,1e-131,93.31,6604192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP140706.1?report=genbank&log$=nucltop&blast_rank=8&RID=0G3YE1AR016"",""CP140706.1"")"
"Pseudomonas tensinigenes strain ZA 5.3 chromosome, complete genome",Pseudomonas tensinigenes,483,483,22%,4e-131,95.68,6621778,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP077089.1?report=genbank&log$=nucltop&blast_rank=9&RID=0G3YE1AR016"",""CP077089.1"")"
"Pseudomonas sp. B21-041 chromosome, complete genome",Pseudomonas sp. B21-041,479,479,24%,5e-130,93.01,6414521,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP087175.1?report=genbank&log$=nucltop&blast_rank=10&RID=0G3YE1AR016"",""CP087175.1"")"
"Pseudomonas germanica strain P9_87 chromosome, complete genome",Pseudomonas germanica,479,479,24%,5e-130,93.01,6530867,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP125372.1?report=genbank&log$=nucltop&blast_rank=11&RID=0G3YE1AR016"",""CP125372.1"")"
"Pseudomonas sp. R84 chromosome, complete genome",Pseudomonas sp. R84,479,479,24%,5e-130,93.01,6601805,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP019426.1?report=genbank&log$=nucltop&blast_rank=12&RID=0G3YE1AR016"",""CP019426.1"")"
"Pseudomonas zeae strain BIM B-582 chromosome, complete genome",Pseudomonas zeae,477,477,22%,2e-129,95.35,6470456,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP102358.1?report=genbank&log$=nucltop&blast_rank=13&RID=0G3YE1AR016"",""CP102358.1"")"
"Pseudomonas germanica strain FIT28 chromosome, complete genome",Pseudomonas germanica,473,473,24%,3e-128,92.71,6713530,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP071586.1?report=genbank&log$=nucltop&blast_rank=14&RID=0G3YE1AR016"",""CP071586.1"")"
"Pseudomonas sp. M20 chromosome, complete genome",Pseudomonas sp. M20,473,473,24%,3e-128,92.71,6734998,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP173611.1?report=genbank&log$=nucltop&blast_rank=15&RID=0G3YE1AR016"",""CP173611.1"")"
"Pseudomonas sp. 43A chromosome, complete genome",Pseudomonas sp. 43A,473,473,24%,3e-128,92.94,6791021,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP054880.1?report=genbank&log$=nucltop&blast_rank=16&RID=0G3YE1AR016"",""CP054880.1"")"
