Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Pseudomonas fluorescens strain CFBP2392 chromosome, complete genome",Pseudomonas fluorescens,431,431,20%,1e-115,98.36,6656414,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP133209.1?report=genbank&log$=nucltop&blast_rank=1&RID=0G4NFYDM016"",""CP133209.1"")"
Pseudomonas sp. SCA2728.1_7 chromosome,Pseudomonas sp. SCA2728.1_7,414,414,20%,1e-110,97.13,6782830,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP073104.1?report=genbank&log$=nucltop&blast_rank=2&RID=0G4NFYDM016"",""CP073104.1"")"
"Pseudomonas zeae strain BIM B-582 chromosome, complete genome",Pseudomonas zeae,409,409,20%,6e-109,96.72,6470456,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP102358.1?report=genbank&log$=nucltop&blast_rank=3&RID=0G4NFYDM016"",""CP102358.1"")"
"Pseudomonas sp. B21-041 chromosome, complete genome",Pseudomonas sp. B21-041,403,403,20%,3e-107,96.31,6414521,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP087175.1?report=genbank&log$=nucltop&blast_rank=4&RID=0G4NFYDM016"",""CP087175.1"")"
"Pseudomonas sp. P108 chromosome, complete genome",Pseudomonas sp. P108,403,403,20%,3e-107,96.31,6631596,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP126691.1?report=genbank&log$=nucltop&blast_rank=5&RID=0G4NFYDM016"",""CP126691.1"")"
"Pseudomonas sp. S49 chromosome, complete genome",Pseudomonas sp. S49,403,403,20%,3e-107,96.31,6659551,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP019432.1?report=genbank&log$=nucltop&blast_rank=6&RID=0G4NFYDM016"",""CP019432.1"")"
"Pseudomonas germanica strain FIT28 chromosome, complete genome",Pseudomonas germanica,403,403,20%,3e-107,96.31,6713530,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP071586.1?report=genbank&log$=nucltop&blast_rank=7&RID=0G4NFYDM016"",""CP071586.1"")"
"Pseudomonas germanica strain P9_87 chromosome, complete genome",Pseudomonas germanica,403,403,20%,3e-107,96.31,6530867,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP125372.1?report=genbank&log$=nucltop&blast_rank=8&RID=0G4NFYDM016"",""CP125372.1"")"
"Pseudomonas sp. 43A chromosome, complete genome",Pseudomonas sp. 43A,403,403,20%,3e-107,96.31,6791021,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP054880.1?report=genbank&log$=nucltop&blast_rank=9&RID=0G4NFYDM016"",""CP054880.1"")"
"Pseudomonas sp. 29A chromosome, complete genome",Pseudomonas sp. 29A,403,403,20%,3e-107,96.31,6775260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP059738.1?report=genbank&log$=nucltop&blast_rank=10&RID=0G4NFYDM016"",""CP059738.1"")"
