Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Mariner mini-transposon delivery vector pMaGlowRedKm, complete sequence",Mariner mini-transposon delivery vector pMaGlowRedKm,219,219,10%,1e-51,97.66,8170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM049177.1?report=genbank&log$=nucltop&blast_rank=1&RID=0G4K545F013"",""HM049177.1"")"
"Mariner transposon vector pKKma, complete sequence",Mariner transposon vector pKKma,219,219,9%,1e-51,98.40,6879,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ933396.1?report=genbank&log$=nucltop&blast_rank=2&RID=0G4K545F013"",""KJ933396.1"")"
"Mariner mini-transposon delivery vector pMaEvo, complete sequence",Mariner mini-transposon delivery vector pMaEvo,219,219,10%,1e-51,97.66,7375,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM049182.1?report=genbank&log$=nucltop&blast_rank=3&RID=0G4K545F013"",""HM049182.1"")"
"Mariner mini-transposon delivery vector pMaT7cat, complete sequence",Mariner mini-transposon delivery vector pMaT7cat,219,219,10%,1e-51,97.66,9355,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM049175.1?report=genbank&log$=nucltop&blast_rank=4&RID=0G4K545F013"",""HM049175.1"")"
"Vector pBAM-GLOW-GmR-PnrdA(PAO1)- gfpmut3, complete sequence",Vector pBAM-GLOW-GmR-PnrdA(PAO1)- gfpmut3,217,217,9%,5e-51,98.39,7371,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP429285.1?report=genbank&log$=nucltop&blast_rank=5&RID=0G4K545F013"",""PP429285.1"")"
"Klebsiella aerogenes strain Y3 chromosome, complete genome",Klebsiella aerogenes,217,1520,9%,5e-51,98.39,5272156,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP045869.1?report=genbank&log$=nucltop&blast_rank=6&RID=0G4K545F013"",""CP045869.1"")"
"Tc1/himar1 mariner transposon vector pFAC plasmid pFAC, complete sequence",Tc1/himar1 mariner transposon vector pFAC,217,217,9%,5e-51,98.39,1473,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ366300.1?report=genbank&log$=nucltop&blast_rank=7&RID=0G4K545F013"",""DQ366300.1"")"
"Vector pBAM-GLOW-GmR-PnrdJ(PAO1)-gfpmut3, complete sequence",Vector pBAM-GLOW-GmR-PnrdJ(PAO1)-gfpmut3,217,217,9%,5e-51,98.39,7002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP429286.1?report=genbank&log$=nucltop&blast_rank=8&RID=0G4K545F013"",""PP429286.1"")"
"Cloning vector pGNS-BAC, complete sequence",Cloning vector pGNS-BAC,217,217,9%,5e-51,98.39,16500,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ245711.1?report=genbank&log$=nucltop&blast_rank=9&RID=0G4K545F013"",""HQ245711.1"")"
"Vector pBAM-GLOW-GmR-PnrdD(PAO1)-gfpmut3, complete sequence",Vector pBAM-GLOW-GmR-PnrdD(PAO1)-gfpmut3,217,217,9%,5e-51,98.39,6932,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP429287.1?report=genbank&log$=nucltop&blast_rank=10&RID=0G4K545F013"",""PP429287.1"")"
Pseudomonas aeruginosa PAO1-VE13 genome,Pseudomonas aeruginosa PAO1-VE13,217,217,9%,5e-51,98.39,6265484,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP006832.1?report=genbank&log$=nucltop&blast_rank=11&RID=0G4K545F013"",""CP006832.1"")"
"Pseudomonas aeruginosa strain PAO1-VE13 transposon Tc1/himar1, partial sequence",Pseudomonas aeruginosa,217,217,9%,5e-51,98.39,404,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ209363.1?report=genbank&log$=nucltop&blast_rank=12&RID=0G4K545F013"",""FJ209363.1"")"
"Klebsiella aerogenes strain Y6 chromosome, complete genome",Klebsiella aerogenes,217,1737,9%,5e-51,98.39,5266224,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP045868.1?report=genbank&log$=nucltop&blast_rank=13&RID=0G4K545F013"",""CP045868.1"")"
Pseudomonas aeruginosa PAO1-VE2 genome,Pseudomonas aeruginosa PAO1-VE2,217,217,9%,5e-51,98.39,6265484,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP006831.1?report=genbank&log$=nucltop&blast_rank=14&RID=0G4K545F013"",""CP006831.1"")"
"Vector pUCP20T-GLOW-GmR-PnrdJ(PAO1)-E2Crimson, complete sequence",Vector pUCP20T-GLOW-GmR-PnrdJ(PAO1)-E2Crimson,217,217,9%,5e-51,98.39,6789,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP445033.1?report=genbank&log$=nucltop&blast_rank=15&RID=0G4K545F013"",""PP445033.1"")"
"Plasmid pBSL141 cloning vector, complete sequence",Cloning vector pBSL141,217,217,9%,5e-51,98.39,3886,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/U35129.1?report=genbank&log$=nucltop&blast_rank=16&RID=0G4K545F013"",""U35129.1"")"
"Cloning vector pEXG2, complete sequence",Cloning vector pEXG2,211,211,9%,2e-49,97.58,5084,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM887143.1?report=genbank&log$=nucltop&blast_rank=17&RID=0G4K545F013"",""KM887143.1"")"
"Cloning vector pHGM01, complete sequence",Cloning vector pHGM01,206,206,9%,1e-47,98.31,10381,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM642557.1?report=genbank&log$=nucltop&blast_rank=18&RID=0G4K545F013"",""OM642557.1"")"
"Plasmid pBSL142 cloning vector, complete sequence",Cloning vector pBSL142,206,206,9%,1e-47,98.31,4669,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/U35130.1?report=genbank&log$=nucltop&blast_rank=19&RID=0G4K545F013"",""U35130.1"")"
"Cloning vector pDRIB, complete sequence",Cloning vector pDRIB,198,198,9%,2e-45,98.25,11038,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JX993918.1?report=genbank&log$=nucltop&blast_rank=20&RID=0G4K545F013"",""JX993918.1"")"
"Fusion vector pFRT2-gfp-Tel, complete sequence",Fusion vector pFRT2-gfp-Tel,198,198,9%,2e-45,98.25,6169,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ455409.1?report=genbank&log$=nucltop&blast_rank=21&RID=0G4K545F013"",""FJ455409.1"")"
"Pseudomonas aeruginosa strain PA14-GFP chromosome, complete genome",Pseudomonas aeruginosa,198,198,9%,2e-45,98.25,6374651,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP141770.1?report=genbank&log$=nucltop&blast_rank=22&RID=0G4K545F013"",""CP141770.1"")"
"Cloning vector pMM21, complete sequence",Cloning vector pMM21,198,198,9%,2e-45,98.25,4849,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH697725.1?report=genbank&log$=nucltop&blast_rank=23&RID=0G4K545F013"",""MH697725.1"")"
"Cloning vector pMM22, complete sequence",Cloning vector pMM22,198,198,9%,2e-45,98.25,4849,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH697726.1?report=genbank&log$=nucltop&blast_rank=24&RID=0G4K545F013"",""MH697726.1"")"
Cloning vector pVZ322 complete sequence,Cloning vector pVZ322,198,198,9%,2e-45,98.25,8390,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AF100175.1?report=genbank&log$=nucltop&blast_rank=25&RID=0G4K545F013"",""AF100175.1"")"
"Vector pFRT2-lacZ-Tel, complete sequence",Vector pFRT2-lacZ-Tel,198,198,9%,2e-45,98.25,8388,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU626140.1?report=genbank&log$=nucltop&blast_rank=26&RID=0G4K545F013"",""EU626140.1"")"
"Cloning vector pNOV145, complete sequence",Cloning vector pNOV145,198,198,9%,2e-45,98.25,4849,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH697721.1?report=genbank&log$=nucltop&blast_rank=27&RID=0G4K545F013"",""MH697721.1"")"
Pseudomonas aeruginosa strain CHA chromosome,Pseudomonas aeruginosa,198,198,9%,2e-45,98.25,6536046,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP050149.1?report=genbank&log$=nucltop&blast_rank=28&RID=0G4K545F013"",""CP050149.1"")"
"Cloning vector pNOV043, complete sequence",Cloning vector pNOV043,198,198,9%,2e-45,98.25,11403,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY933087.1?report=genbank&log$=nucltop&blast_rank=29&RID=0G4K545F013"",""KY933087.1"")"
"Cloning vector pDRIA, complete sequence",Cloning vector pDRIA,198,198,9%,2e-45,98.25,11038,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JX993917.1?report=genbank&log$=nucltop&blast_rank=30&RID=0G4K545F013"",""JX993917.1"")"
"Cloning vector pIREB, complete sequence",Cloning vector pIREB,198,198,9%,2e-45,98.25,10070,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JX993920.1?report=genbank&log$=nucltop&blast_rank=31&RID=0G4K545F013"",""JX993920.1"")"
"Cloning vector pUCTCAPR3-GW, complete sequence",Cloning vector pUCTCAPR3-GW,198,198,9%,2e-45,96.67,8522,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JX573200.1?report=genbank&log$=nucltop&blast_rank=32&RID=0G4K545F013"",""JX573200.1"")"
"Cloning vector pYanni2, complete sequence",Cloning vector pYanni2,198,198,9%,2e-45,98.25,6546,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AJ247370.1?report=genbank&log$=nucltop&blast_rank=33&RID=0G4K545F013"",""AJ247370.1"")"
"Cloning vector pIRIA, complete sequence",Cloning vector pIRIA,198,198,9%,2e-45,98.25,11038,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JX993921.1?report=genbank&log$=nucltop&blast_rank=34&RID=0G4K545F013"",""JX993921.1"")"
"Cloning vector pDREB, complete sequence",Cloning vector pDREB,198,198,9%,2e-45,98.25,6998,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JX993916.1?report=genbank&log$=nucltop&blast_rank=35&RID=0G4K545F013"",""JX993916.1"")"
"Vector pFRT1-lacZ-Tel, complete sequence",Vector pFRT1-lacZ-Tel,198,198,9%,2e-45,98.25,8388,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU626139.1?report=genbank&log$=nucltop&blast_rank=36&RID=0G4K545F013"",""EU626139.1"")"
"Pseudomonas sp. B188 chromosome, complete genome",Pseudomonas sp. B188,198,198,9%,2e-45,98.25,6191592,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP140705.1?report=genbank&log$=nucltop&blast_rank=37&RID=0G4K545F013"",""CP140705.1"")"
"Plasposon pTnMod-OGm, complete sequence",Plasposon pTnMod-OGm,198,198,9%,2e-45,98.25,4689,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AF061920.1?report=genbank&log$=nucltop&blast_rank=38&RID=0G4K545F013"",""AF061920.1"")"
"Cloning vector pJW24, complete sequence",Cloning vector pJW24,198,198,9%,2e-45,98.25,4849,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH697724.1?report=genbank&log$=nucltop&blast_rank=39&RID=0G4K545F013"",""MH697724.1"")"
"Fusion vector pFRT2-lux-Tel, complete sequence",Fusion vector pFRT2-lux-Tel,198,198,9%,2e-45,98.25,11266,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ455411.1?report=genbank&log$=nucltop&blast_rank=40&RID=0G4K545F013"",""FJ455411.1"")"
"Cloning vector pMM24, complete sequence",Cloning vector pMM24,198,198,9%,2e-45,98.25,4849,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH697728.1?report=genbank&log$=nucltop&blast_rank=41&RID=0G4K545F013"",""MH697728.1"")"
"Insertion vector pFRT2-lacZ, complete sequence",Insertion vector pFRT2-lacZ,198,198,9%,2e-45,98.25,6042,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU034637.1?report=genbank&log$=nucltop&blast_rank=42&RID=0G4K545F013"",""EU034637.1"")"
"Cloning vector pUCGM gentamycin-resistance cassette, gentamycin acetyltransferase-3-1 (aacC1), beta-lactamase (bla) genes, complete cds",Cloning vector pUCGM,198,198,9%,2e-45,98.25,3563,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/U04610.1?report=genbank&log$=nucltop&blast_rank=43&RID=0G4K545F013"",""U04610.1"")"
"Cloning vector pUC-GM-INT, complete sequence",Cloning vector pUC-GM-INT,198,198,9%,2e-45,98.25,5646,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AF025392.1?report=genbank&log$=nucltop&blast_rank=44&RID=0G4K545F013"",""AF025392.1"")"
"Cloning vector pIREA, complete sequence",Cloning vector pIREA,198,198,9%,2e-45,98.25,10070,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JX993919.1?report=genbank&log$=nucltop&blast_rank=45&RID=0G4K545F013"",""JX993919.1"")"
"Fusion vector pFRT1-lux-Tel, complete sequence",Fusion vector pFRT1-lux-Tel,198,198,9%,2e-45,98.25,11266,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ455410.1?report=genbank&log$=nucltop&blast_rank=46&RID=0G4K545F013"",""FJ455410.1"")"
"Cloning vector pNOV076, complete sequence",Cloning vector pNOV076,198,198,9%,2e-45,98.25,8181,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX986298.1?report=genbank&log$=nucltop&blast_rank=47&RID=0G4K545F013"",""KX986298.1"")"
"Cloning vector p34S-Gm, complete sequence",Cloning vector p34S-Gm,198,198,9%,2e-45,98.25,3617,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AF062079.1?report=genbank&log$=nucltop&blast_rank=48&RID=0G4K545F013"",""AF062079.1"")"
"Cloning vector pRSF1030G, complete sequence",Cloning vector pRSF1030G,198,198,9%,2e-45,98.25,3359,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KP899257.1?report=genbank&log$=nucltop&blast_rank=49&RID=0G4K545F013"",""KP899257.1"")"
"Cloning vector pUCTCAPR2-GW, complete sequence",Cloning vector pUCTCAPR2-GW,198,198,9%,2e-45,96.67,8382,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JX573199.1?report=genbank&log$=nucltop&blast_rank=50&RID=0G4K545F013"",""JX573199.1"")"
"Cloning vector pIRIB, complete sequence",Cloning vector pIRIB,198,198,9%,2e-45,98.25,11038,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JX993922.1?report=genbank&log$=nucltop&blast_rank=51&RID=0G4K545F013"",""JX993922.1"")"
"Cloning vector pDREA, complete sequence",Cloning vector pDREA,198,198,9%,2e-45,98.25,10070,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JX993915.1?report=genbank&log$=nucltop&blast_rank=52&RID=0G4K545F013"",""JX993915.1"")"
"Cloning vector pJW20, complete sequence",Cloning vector pJW20,198,198,9%,2e-45,98.25,4849,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH697723.1?report=genbank&log$=nucltop&blast_rank=53&RID=0G4K545F013"",""MH697723.1"")"
"Cloning vector pNOV077, complete sequence",Cloning vector pNOV077,198,198,9%,2e-45,98.25,8181,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX986299.1?report=genbank&log$=nucltop&blast_rank=54&RID=0G4K545F013"",""KX986299.1"")"
"Expression vector pBAD322G, complete sequence",Expression vector pBAD322G,198,198,9%,2e-45,98.25,4357,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ119284.1?report=genbank&log$=nucltop&blast_rank=55&RID=0G4K545F013"",""DQ119284.1"")"
"Cloning vector pNOV044, complete sequence",Cloning vector pNOV044,198,198,9%,2e-45,98.25,10383,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY933088.1?report=genbank&log$=nucltop&blast_rank=56&RID=0G4K545F013"",""KY933088.1"")"
"Cloning vector pMM23, complete sequence",Cloning vector pMM23,198,198,9%,2e-45,98.25,4849,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH697727.1?report=genbank&log$=nucltop&blast_rank=57&RID=0G4K545F013"",""MH697727.1"")"
"Cloning vector pNOV146, complete sequence",Cloning vector pNOV146,198,198,9%,2e-45,98.25,4849,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH697722.1?report=genbank&log$=nucltop&blast_rank=58&RID=0G4K545F013"",""MH697722.1"")"
"Cloning vector pNOV052, complete sequence",Cloning vector pNOV052,198,198,9%,2e-45,98.25,8181,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX986297.1?report=genbank&log$=nucltop&blast_rank=59&RID=0G4K545F013"",""KX986297.1"")"
"Promoter-probe vector pXH201, complete sequence",Promoter-probe vector pXH201,198,198,9%,2e-45,98.25,5486,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AY652435.1?report=genbank&log$=nucltop&blast_rank=60&RID=0G4K545F013"",""AY652435.1"")"
"Fusion vector pFRT1-gfp-Tel, complete sequence",Fusion vector pFRT1-gfp-Tel,198,198,9%,2e-45,98.25,6169,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ455408.1?report=genbank&log$=nucltop&blast_rank=61&RID=0G4K545F013"",""FJ455408.1"")"
"Insertion vector pFRT1-lacZ, complete sequence",Insertion vector pFRT1-lacZ,198,198,9%,2e-45,98.25,6042,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU034636.1?report=genbank&log$=nucltop&blast_rank=62&RID=0G4K545F013"",""EU034636.1"")"
Cloning vector pVZ324 complete sequence,Cloning vector pVZ324,198,198,9%,2e-45,98.25,8424,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AF100177.1?report=genbank&log$=nucltop&blast_rank=63&RID=0G4K545F013"",""AF100177.1"")"
"Cloning vector pNOV016, complete sequence",Cloning vector pNOV016,198,198,9%,2e-45,98.25,5845,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF988354.1?report=genbank&log$=nucltop&blast_rank=64&RID=0G4K545F013"",""MF988354.1"")"
"Cloning vector pXY5, complete sequence",Cloning vector pXY5,196,196,9%,6e-45,98.23,4782,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KM201426.1?report=genbank&log$=nucltop&blast_rank=65&RID=0G4K545F013"",""KM201426.1"")"
"Vector pAH1T-Tn7, complete sequence",Vector pAH1T-Tn7,196,196,9%,6e-45,98.23,5258,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK148694.1?report=genbank&log$=nucltop&blast_rank=66&RID=0G4K545F013"",""OK148694.1"")"
"Mini-Tn7 delivery vector pUC18R6K-mini-Tn7T-Gm-PlacPflaAgfpmut2, complete sequence",Mini-Tn7 delivery vector pUC18R6K-mini-Tn7T-Gm-PlacPflaAgfpmut2,196,196,9%,6e-45,98.23,5679,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ227505.1?report=genbank&log$=nucltop&blast_rank=67&RID=0G4K545F013"",""DQ227505.1"")"
"Vector pAH1-Tn7, complete sequence",Vector pAH1-Tn7,196,196,9%,6e-45,98.23,5029,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK148693.1?report=genbank&log$=nucltop&blast_rank=68&RID=0G4K545F013"",""OK148693.1"")"
