Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Mariner mini-transposon delivery vector pMaGlowRedKm, complete sequence",Mariner mini-transposon delivery vector pMaGlowRedKm,204,204,10%,3e-47,96.00,8170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM049177.1?report=genbank&log$=nucltop&blast_rank=1&RID=0G43SYV1016"",""HM049177.1"")"
"Mariner transposon vector pKKma, complete sequence",Mariner transposon vector pKKma,204,204,10%,3e-47,96.72,6879,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ933396.1?report=genbank&log$=nucltop&blast_rank=2&RID=0G43SYV1016"",""KJ933396.1"")"
"Mariner mini-transposon delivery vector pMaEvo, complete sequence",Mariner mini-transposon delivery vector pMaEvo,204,204,10%,3e-47,96.00,7375,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM049182.1?report=genbank&log$=nucltop&blast_rank=3&RID=0G43SYV1016"",""HM049182.1"")"
"Mariner mini-transposon delivery vector pMaT7cat, complete sequence",Mariner mini-transposon delivery vector pMaT7cat,204,204,10%,3e-47,96.00,9355,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM049175.1?report=genbank&log$=nucltop&blast_rank=4&RID=0G43SYV1016"",""HM049175.1"")"
"Vector pBAM-GLOW-GmR-PnrdA(PAO1)- gfpmut3, complete sequence",Vector pBAM-GLOW-GmR-PnrdA(PAO1)- gfpmut3,202,202,10%,1e-46,96.69,7371,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP429285.1?report=genbank&log$=nucltop&blast_rank=5&RID=0G43SYV1016"",""PP429285.1"")"
"Klebsiella aerogenes strain Y3 chromosome, complete genome",Klebsiella aerogenes,202,1416,10%,1e-46,96.69,5272156,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP045869.1?report=genbank&log$=nucltop&blast_rank=6&RID=0G43SYV1016"",""CP045869.1"")"
"Tc1/himar1 mariner transposon vector pFAC plasmid pFAC, complete sequence",Tc1/himar1 mariner transposon vector pFAC,202,202,10%,1e-46,96.69,1473,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ366300.1?report=genbank&log$=nucltop&blast_rank=7&RID=0G43SYV1016"",""DQ366300.1"")"
"Vector pBAM-GLOW-GmR-PnrdJ(PAO1)-gfpmut3, complete sequence",Vector pBAM-GLOW-GmR-PnrdJ(PAO1)-gfpmut3,202,202,10%,1e-46,96.69,7002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP429286.1?report=genbank&log$=nucltop&blast_rank=8&RID=0G43SYV1016"",""PP429286.1"")"
"Cloning vector pGNS-BAC, complete sequence",Cloning vector pGNS-BAC,202,202,10%,1e-46,96.69,16500,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HQ245711.1?report=genbank&log$=nucltop&blast_rank=9&RID=0G43SYV1016"",""HQ245711.1"")"
"Vector pBAM-GLOW-GmR-PnrdD(PAO1)-gfpmut3, complete sequence",Vector pBAM-GLOW-GmR-PnrdD(PAO1)-gfpmut3,202,202,10%,1e-46,96.69,6932,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP429287.1?report=genbank&log$=nucltop&blast_rank=10&RID=0G43SYV1016"",""PP429287.1"")"
