Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Pseudomonas fluorescens strain CFBP2392 chromosome, complete genome",Pseudomonas fluorescens,158,158,13%,3e-33,83.82,6656414,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP133209.1?report=genbank&log$=nucltop&blast_rank=1&RID=0G4GXDDA016"",""CP133209.1"")"
"Pseudomonas sp. ZY71 chromosome, complete genome",Pseudomonas sp. ZY71,154,154,13%,4e-32,83.33,6693135,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP144274.1?report=genbank&log$=nucltop&blast_rank=2&RID=0G4GXDDA016"",""CP144274.1"")"
"Pseudomonas sp. B33.4 chromosome, complete genome",Pseudomonas sp. B33.4,154,154,13%,4e-32,83.43,6604192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP140706.1?report=genbank&log$=nucltop&blast_rank=3&RID=0G4GXDDA016"",""CP140706.1"")"
"Pseudomonas zeae strain BIM B-582 chromosome, complete genome",Pseudomonas zeae,148,148,13%,2e-30,82.76,6470456,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP102358.1?report=genbank&log$=nucltop&blast_rank=4&RID=0G4GXDDA016"",""CP102358.1"")"
"Pseudomonas zeae strain OE 48.2 chromosome, complete genome",Pseudomonas zeae,147,147,12%,6e-30,83.54,6630739,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP077090.1?report=genbank&log$=nucltop&blast_rank=5&RID=0G4GXDDA016"",""CP077090.1"")"
"Pseudomonas sp. A34-9 chromosome, complete genome",Pseudomonas sp. A34-9,147,147,12%,6e-30,83.54,6541947,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP119967.1?report=genbank&log$=nucltop&blast_rank=6&RID=0G4GXDDA016"",""CP119967.1"")"
"Pseudomonas sp. VD-NE white chromosome, complete genome",Pseudomonas sp. VD-NE white,147,147,11%,6e-30,84.87,6695895,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP134773.1?report=genbank&log$=nucltop&blast_rank=7&RID=0G4GXDDA016"",""CP134773.1"")"
"Pseudomonas sp. VD-NE ins chromosome, complete genome",Pseudomonas sp. VD-NE ins,147,147,12%,6e-30,83.64,6696054,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP134772.1?report=genbank&log$=nucltop&blast_rank=8&RID=0G4GXDDA016"",""CP134772.1"")"
"Pseudomonas sp. B21-041 chromosome, complete genome",Pseudomonas sp. B21-041,147,147,12%,6e-30,83.54,6414521,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP087175.1?report=genbank&log$=nucltop&blast_rank=9&RID=0G4GXDDA016"",""CP087175.1"")"
"Pseudomonas sp. P108 chromosome, complete genome",Pseudomonas sp. P108,147,147,12%,6e-30,83.54,6631596,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP126691.1?report=genbank&log$=nucltop&blast_rank=10&RID=0G4GXDDA016"",""CP126691.1"")"
