Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Pseudomonas sp. SCA2728.1_7 chromosome,Pseudomonas sp. SCA2728.1_7,296,397,22%,6e-75,85.42,6782830,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP073104.1?report=genbank&log$=nucltop&blast_rank=1&RID=0G3J27JB016"",""CP073104.1"")"
"Pseudomonas fluorescens strain CFBP2392 chromosome, complete genome",Pseudomonas fluorescens,291,373,22%,3e-73,84.88,6656414,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP133209.1?report=genbank&log$=nucltop&blast_rank=2&RID=0G3J27JB016"",""CP133209.1"")"
"Pseudomonas sp. ZY71 chromosome, complete genome",Pseudomonas sp. ZY71,274,699,22%,3e-68,83.85,6693135,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP144274.1?report=genbank&log$=nucltop&blast_rank=3&RID=0G3J27JB016"",""CP144274.1"")"
"Pseudomonas sp. DS1 chromosome, complete genome",Pseudomonas sp. DS1,178,295,17%,2e-39,82.08,1198745,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP058636.1?report=genbank&log$=nucltop&blast_rank=4&RID=0G3J27JB016"",""CP058636.1"")"
"Pseudomonas sp. Seg1 DNA, complete genome",Pseudomonas sp. Seg1,154,281,21%,4e-32,79.20,6625535,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP021903.1?report=genbank&log$=nucltop&blast_rank=5&RID=0G3J27JB016"",""AP021903.1"")"
"Pseudomonas fluorescens strain G7 chromosome, complete genome",Pseudomonas fluorescens,150,247,17%,5e-31,79.02,6336169,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP027561.1?report=genbank&log$=nucltop&blast_rank=6&RID=0G3J27JB016"",""CP027561.1"")"
Pseudomonas serboccidentalis strain IT-P374 chromosome,Pseudomonas serboccidentalis,147,356,17%,6e-30,80.71,5997322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP101655.1?report=genbank&log$=nucltop&blast_rank=7&RID=0G3J27JB016"",""CP101655.1"")"
"Pseudomonas sp. A1230 chromosome, complete genome",Pseudomonas sp. A1230,139,413,19%,1e-27,77.33,6129803,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP162582.1?report=genbank&log$=nucltop&blast_rank=8&RID=0G3J27JB016"",""CP162582.1"")"
"Pseudomonas sp. 43A chromosome, complete genome",Pseudomonas sp. 43A,139,236,17%,1e-27,79.05,6791021,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP054880.1?report=genbank&log$=nucltop&blast_rank=9&RID=0G3J27JB016"",""CP054880.1"")"
"Pseudomonas sp. RSB 5.4 chromosome, complete genome",Pseudomonas sp. RSB 5.4,139,255,16%,1e-27,79.13,6243169,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP146986.1?report=genbank&log$=nucltop&blast_rank=10&RID=0G3J27JB016"",""CP146986.1"")"
