Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Pseudomonas fluorescens strain CFBP2392 chromosome, complete genome",Pseudomonas fluorescens,449,449,24%,4e-121,95.10,6656414,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP133209.1?report=genbank&log$=nucltop&blast_rank=1&RID=0G4E99XD016"",""CP133209.1"")"
Pseudomonas sp. SCA2728.1_7 chromosome,Pseudomonas sp. SCA2728.1_7,433,433,24%,4e-116,94.06,6782830,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP073104.1?report=genbank&log$=nucltop&blast_rank=2&RID=0G4E99XD016"",""CP073104.1"")"
"Pseudomonas zeae strain BIM B-582 chromosome, complete genome",Pseudomonas zeae,422,422,24%,8e-113,93.38,6470456,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP102358.1?report=genbank&log$=nucltop&blast_rank=3&RID=0G4E99XD016"",""CP102358.1"")"
"Pseudomonas sp. B21-041 chromosome, complete genome",Pseudomonas sp. B21-041,412,412,22%,5e-110,95.38,6414521,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP087175.1?report=genbank&log$=nucltop&blast_rank=4&RID=0G4E99XD016"",""CP087175.1"")"
"Pseudomonas germanica strain FIT28 chromosome, complete genome",Pseudomonas germanica,412,412,22%,5e-110,95.38,6713530,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP071586.1?report=genbank&log$=nucltop&blast_rank=5&RID=0G4E99XD016"",""CP071586.1"")"
"Pseudomonas germanica strain P9_87 chromosome, complete genome",Pseudomonas germanica,412,412,22%,5e-110,95.38,6530867,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP125372.1?report=genbank&log$=nucltop&blast_rank=6&RID=0G4E99XD016"",""CP125372.1"")"
"Pseudomonas sp. P108 chromosome, complete genome",Pseudomonas sp. P108,411,411,24%,2e-109,92.66,6631596,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP126691.1?report=genbank&log$=nucltop&blast_rank=7&RID=0G4E99XD016"",""CP126691.1"")"
"Pseudomonas sp. S49 chromosome, complete genome",Pseudomonas sp. S49,411,411,24%,2e-109,92.66,6659551,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP019432.1?report=genbank&log$=nucltop&blast_rank=8&RID=0G4E99XD016"",""CP019432.1"")"
"Pseudomonas sp. RU47 chromosome, complete genome",Pseudomonas sp. RU47,411,411,24%,2e-109,92.66,6663463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP022411.1?report=genbank&log$=nucltop&blast_rank=9&RID=0G4E99XD016"",""CP022411.1"")"
"Pseudomonas zeae strain OE 48.2 chromosome, complete genome",Pseudomonas zeae,407,407,22%,2e-108,95.00,6630739,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP077090.1?report=genbank&log$=nucltop&blast_rank=10&RID=0G4E99XD016"",""CP077090.1"")"
"Pseudomonas sp. DTU12.3 chromosome, complete genome",Pseudomonas sp. DTU12.3,405,405,24%,8e-108,92.33,6268469,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP027218.1?report=genbank&log$=nucltop&blast_rank=11&RID=0G4E99XD016"",""CP027218.1"")"
