Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Pseudomonas fluorescens strain CFBP2392 chromosome, complete genome",Pseudomonas fluorescens,416,416,19%,4e-111,97.15,6656414,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP133209.1?report=genbank&log$=nucltop&blast_rank=1&RID=0G4A0USC013"",""CP133209.1"")"
"Pseudomonas sp. ZY71 chromosome, complete genome",Pseudomonas sp. ZY71,411,411,19%,2e-109,96.75,6693135,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP144274.1?report=genbank&log$=nucltop&blast_rank=2&RID=0G4A0USC013"",""CP144274.1"")"
Pseudomonas sp. SCA2728.1_7 chromosome,Pseudomonas sp. SCA2728.1_7,411,411,19%,2e-109,96.75,6782830,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP073104.1?report=genbank&log$=nucltop&blast_rank=3&RID=0G4A0USC013"",""CP073104.1"")"
"Pseudomonas sp. VD-NE white chromosome, complete genome",Pseudomonas sp. VD-NE white,383,383,19%,4e-101,94.72,6695895,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP134773.1?report=genbank&log$=nucltop&blast_rank=4&RID=0G4A0USC013"",""CP134773.1"")"
"Pseudomonas sp. VD-NE ins chromosome, complete genome",Pseudomonas sp. VD-NE ins,383,383,19%,4e-101,94.72,6696054,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP134772.1?report=genbank&log$=nucltop&blast_rank=5&RID=0G4A0USC013"",""CP134772.1"")"
"Pseudomonas sp. VD-NE ext chromosome, complete genome",Pseudomonas sp. VD-NE ext,383,383,19%,4e-101,94.72,6696047,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP134774.1?report=genbank&log$=nucltop&blast_rank=6&RID=0G4A0USC013"",""CP134774.1"")"
"Pseudomonas sp. M20 chromosome, complete genome",Pseudomonas sp. M20,368,368,19%,1e-96,94.54,6734998,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP173611.1?report=genbank&log$=nucltop&blast_rank=7&RID=0G4A0USC013"",""CP173611.1"")"
"Pseudomonas sp. R84 chromosome, complete genome",Pseudomonas sp. R84,368,368,19%,1e-96,94.19,6601805,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP019426.1?report=genbank&log$=nucltop&blast_rank=8&RID=0G4A0USC013"",""CP019426.1"")"
"Pseudomonas tensinigenes strain ZA 5.3 chromosome, complete genome",Pseudomonas tensinigenes,355,355,19%,9e-93,92.68,6621778,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP077089.1?report=genbank&log$=nucltop&blast_rank=9&RID=0G4A0USC013"",""CP077089.1"")"
"Pseudomonas sp. A34-9 chromosome, complete genome",Pseudomonas sp. A34-9,353,353,18%,3e-92,95.09,6541947,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP119967.1?report=genbank&log$=nucltop&blast_rank=10&RID=0G4A0USC013"",""CP119967.1"")"
"Pseudomonas sp. P108 chromosome, complete genome",Pseudomonas sp. P108,353,353,18%,3e-92,94.71,6631596,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP126691.1?report=genbank&log$=nucltop&blast_rank=11&RID=0G4A0USC013"",""CP126691.1"")"
"Pseudomonas sp. S49 chromosome, complete genome",Pseudomonas sp. S49,353,353,18%,3e-92,94.71,6659551,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP019432.1?report=genbank&log$=nucltop&blast_rank=12&RID=0G4A0USC013"",""CP019432.1"")"
"Pseudomonas sp. B33.4 chromosome, complete genome",Pseudomonas sp. B33.4,348,348,18%,1e-90,94.27,6604192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP140706.1?report=genbank&log$=nucltop&blast_rank=13&RID=0G4A0USC013"",""CP140706.1"")"
"Pseudomonas sp. RU47 chromosome, complete genome",Pseudomonas sp. RU47,348,348,18%,1e-90,94.27,6663463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP022411.1?report=genbank&log$=nucltop&blast_rank=14&RID=0G4A0USC013"",""CP022411.1"")"
