Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Saccharomyces cerevisiae chromosome V cosmids 9537, 9581, 9495, 9867, and lambda clone 5898",Saccharomyces cerevisiae,636,636,41%,3e-177,89.17,66030,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/U18778.1?report=genbank&log$=nucltop&blast_rank=1&RID=0G36VSGN016"",""U18778.1"")"
S.cerevisiae DNA for PRP22 gene,Saccharomyces cerevisiae,636,636,41%,3e-177,89.17,3940,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/X58681.1?report=genbank&log$=nucltop&blast_rank=2&RID=0G36VSGN016"",""X58681.1"")"
"Synthetic construct Saccharomyces cerevisiae clone FLH148160.01X PRP22 gene, complete sequence",synthetic construct,636,636,41%,3e-177,89.17,3438,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ332137.1?report=genbank&log$=nucltop&blast_rank=3&RID=0G36VSGN016"",""DQ332137.1"")"
Saccharomyces cerevisiae synthetic construct strain YZY1178 chromosome SynV,Saccharomyces cerevisiae synthetic construct,636,636,41%,3e-177,89.17,548971,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP135954.1?report=genbank&log$=nucltop&blast_rank=4&RID=0G36VSGN016"",""CP135954.1"")"
"Saccharomyces cerevisiae strain SY14 chromosome I, complete sequence",Saccharomyces cerevisiae,636,636,41%,3e-177,89.17,11848804,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP029160.1?report=genbank&log$=nucltop&blast_rank=5&RID=0G36VSGN016"",""CP029160.1"")"
"Saccharomyces cerevisiae S288C DEAH-box ATP-dependent RNA helicase PRP22 (PRP22), partial mRNA",Saccharomyces cerevisiae S288C,636,636,41%,3e-177,89.17,3438,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001178904.3?report=genbank&log$=nucltop&blast_rank=6&RID=0G36VSGN016"",""NM_001178904.3"")"
Saccharomyces cerevisiae strain NCIM3107 chromosome 5 sequence,Saccharomyces cerevisiae,610,610,41%,2e-169,87.81,571250,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP009952.1?report=genbank&log$=nucltop&blast_rank=7&RID=0G36VSGN016"",""CP009952.1"")"
"Saccharomyces cerevisiae N85 chromosome V, complete genome",Saccharomyces cerevisiae N85,597,597,41%,1e-165,87.81,580779,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LN907788.1?report=genbank&log$=nucltop&blast_rank=8&RID=0G36VSGN016"",""LN907788.1"")"
"Saccharomyces paradoxus DEAH-box ATP-dependent RNA helicase PRP22 (SPAR_E00830), partial mRNA",Saccharomyces paradoxus,411,411,34%,2e-109,84.42,3438,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_033909935.1?report=genbank&log$=nucltop&blast_rank=9&RID=0G36VSGN016"",""XM_033909935.1"")"
Mutant Saccharomyces paradoxus strain 337 chromosome V genomic sequence,Saccharomyces paradoxus,401,401,34%,1e-106,83.92,561018,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP081979.2?report=genbank&log$=nucltop&blast_rank=10&RID=0G36VSGN016"",""CP081979.2"")"



		


