Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Pseudomonas fluorescens strain CFBP2392 chromosome, complete genome",Pseudomonas fluorescens,335,335,16%,1e-86,95.26,6656414,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP133209.1?report=genbank&log$=nucltop&blast_rank=1&RID=0G418AV5016"",""CP133209.1"")"
"Pseudomonas sp. P108 chromosome, complete genome",Pseudomonas sp. P108,329,329,16%,6e-85,94.79,6631596,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP126691.1?report=genbank&log$=nucltop&blast_rank=2&RID=0G418AV5016"",""CP126691.1"")"
"Pseudomonas sp. S49 chromosome, complete genome",Pseudomonas sp. S49,329,329,16%,6e-85,94.79,6659551,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP019432.1?report=genbank&log$=nucltop&blast_rank=3&RID=0G418AV5016"",""CP019432.1"")"
"Pseudomonas sp. B33.4 chromosome, complete genome",Pseudomonas sp. B33.4,329,329,16%,6e-85,94.79,6604192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP140706.1?report=genbank&log$=nucltop&blast_rank=4&RID=0G418AV5016"",""CP140706.1"")"
"Pseudomonas sp. RU47 chromosome, complete genome",Pseudomonas sp. RU47,329,329,16%,6e-85,94.79,6663463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP022411.1?report=genbank&log$=nucltop&blast_rank=5&RID=0G418AV5016"",""CP022411.1"")"
"Pseudomonas sp. ZY71 chromosome, complete genome",Pseudomonas sp. ZY71,327,327,16%,2e-84,94.79,6693135,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP144274.1?report=genbank&log$=nucltop&blast_rank=6&RID=0G418AV5016"",""CP144274.1"")"
"Pseudomonas zeae strain OE 48.2 chromosome, complete genome",Pseudomonas zeae,324,324,16%,3e-83,94.34,6630739,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP077090.1?report=genbank&log$=nucltop&blast_rank=7&RID=0G418AV5016"",""CP077090.1"")"
"Pseudomonas sp. B21-041 chromosome, complete genome",Pseudomonas sp. B21-041,324,324,16%,3e-83,94.31,6414521,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP087175.1?report=genbank&log$=nucltop&blast_rank=8&RID=0G418AV5016"",""CP087175.1"")"
"Pseudomonas zeae strain BIM B-582 chromosome, complete genome",Pseudomonas zeae,324,324,16%,3e-83,94.34,6470456,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP102358.1?report=genbank&log$=nucltop&blast_rank=9&RID=0G418AV5016"",""CP102358.1"")"
"Pseudomonas germanica strain P9_87 chromosome, complete genome",Pseudomonas germanica,324,324,16%,3e-83,94.31,6530867,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP125372.1?report=genbank&log$=nucltop&blast_rank=10&RID=0G418AV5016"",""CP125372.1"")"
