Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Cloning vector pRama-35, complete sequence",Cloning vector pRama-35,388,388,35%,9e-103,82.17,5312,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GQ258350.1?report=genbank&log$=nucltop&blast_rank=1&RID=0G3VAJYB016"",""GQ258350.1"")"
"Cloning vector pRama-31, complete sequence",Cloning vector pRama-31,388,388,35%,9e-103,82.17,4828,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GQ258348.1?report=genbank&log$=nucltop&blast_rank=2&RID=0G3VAJYB016"",""GQ258348.1"")"
"Cloning vector pHN1_lacUV5, complete sequence",Cloning vector pHN1_lacUV5,385,385,33%,1e-101,82.62,4885,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/HM026758.1?report=genbank&log$=nucltop&blast_rank=3&RID=0G3VAJYB016"",""HM026758.1"")"
"Cloning vector pABC1-loxB, complete sequence",Cloning vector pABC1-loxB,385,385,33%,1e-101,82.62,9602,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY031730.1?report=genbank&log$=nucltop&blast_rank=4&RID=0G3VAJYB016"",""KY031730.1"")"
"Cloning vector pABC1-loxA, complete sequence",Cloning vector pABC1-loxA,385,385,33%,1e-101,82.62,9541,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY031729.1?report=genbank&log$=nucltop&blast_rank=5&RID=0G3VAJYB016"",""KY031729.1"")"
pUC18 and phage f1 derivative cloning vector,synthetic construct,385,385,33%,1e-101,82.62,2858,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/X70275.1?report=genbank&log$=nucltop&blast_rank=6&RID=0G3VAJYB016"",""X70275.1"")"
"Cloning vector VEE(L.Cm).Pac-2A-GFP, complete sequence",Cloning vector VEE(L.Cm).Pac-2A-GFP,383,383,33%,4e-101,82.58,14800,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF136452.1?report=genbank&log$=nucltop&blast_rank=7&RID=0G3VAJYB016"",""MF136452.1"")"
"Cloning vector pEAVrVBS/HK116 S, complete sequence",Cloning vector pEAVrVBS/HK116 S,383,383,33%,4e-101,82.58,14553,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GU732202.1?report=genbank&log$=nucltop&blast_rank=8&RID=0G3VAJYB016"",""GU732202.1"")"
"Synthetic construct IDRI plasmid clone 429, complete sequence",synthetic construct,383,383,33%,4e-101,82.58,13917,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ671997.1?report=genbank&log$=nucltop&blast_rank=9&RID=0G3VAJYB016"",""MZ671997.1"")"
"Transformation vector pJF1006, complete sequence",Transformation vector pJF1006,383,383,35%,4e-101,81.76,15585,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ417372.1?report=genbank&log$=nucltop&blast_rank=10&RID=0G3VAJYB016"",""MZ417372.1"")"
"Cloning vector pEAVrMLVB5/6, complete sequence",Cloning vector pEAVrMLVB5/6,383,383,33%,4e-101,82.58,14577,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JQ844154.1?report=genbank&log$=nucltop&blast_rank=11&RID=0G3VAJYB016"",""JQ844154.1"")"
"Cloning vector pEAVrMLV, complete sequence",Cloning vector pEAVrMLV,383,383,33%,4e-101,82.58,14553,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ798195.1?report=genbank&log$=nucltop&blast_rank=12&RID=0G3VAJYB016"",""FJ798195.1"")"
"Cloning vector pEAVrMLVB, complete sequence",Cloning vector pEAVrMLVB,383,383,33%,4e-101,82.58,14553,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/FJ798196.1?report=genbank&log$=nucltop&blast_rank=13&RID=0G3VAJYB016"",""FJ798196.1"")"
"Cloning vector prMLVB4/5 GP5ecto, complete sequence",Cloning vector prMLVB4/5 GP5ecto,383,383,33%,4e-101,82.58,14427,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JQ844156.1?report=genbank&log$=nucltop&blast_rank=14&RID=0G3VAJYB016"",""JQ844156.1"")"
"Synthetic construct IDRI plasmid 432, complete sequence",synthetic construct,383,383,33%,4e-101,82.58,14442,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MZ672000.1?report=genbank&log$=nucltop&blast_rank=15&RID=0G3VAJYB016"",""MZ672000.1"")"
