Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Pseudomonas fluorescens strain CFBP2392 chromosome, complete genome",Pseudomonas fluorescens,739,739,32%,0.0,97.67,6656414,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP133209.1?report=genbank&log$=nucltop&blast_rank=1&RID=0G4C4DWH013"",""CP133209.1"")"
Pseudomonas sp. SCA2728.1_7 chromosome,Pseudomonas sp. SCA2728.1_7,723,723,32%,0.0,97.41,6782830,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP073104.1?report=genbank&log$=nucltop&blast_rank=2&RID=0G4C4DWH013"",""CP073104.1"")"
"Pseudomonas sp. ZY71 chromosome, complete genome",Pseudomonas sp. ZY71,706,706,32%,0.0,96.28,6693135,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP144274.1?report=genbank&log$=nucltop&blast_rank=3&RID=0G4C4DWH013"",""CP144274.1"")"
"Pseudomonas sp. P108 chromosome, complete genome",Pseudomonas sp. P108,695,695,32%,0.0,95.81,6631596,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP126691.1?report=genbank&log$=nucltop&blast_rank=4&RID=0G4C4DWH013"",""CP126691.1"")"
"Pseudomonas sp. S49 chromosome, complete genome",Pseudomonas sp. S49,695,695,32%,0.0,95.81,6659551,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP019432.1?report=genbank&log$=nucltop&blast_rank=5&RID=0G4C4DWH013"",""CP019432.1"")"
"Pseudomonas sp. RU47 chromosome, complete genome",Pseudomonas sp. RU47,695,695,32%,0.0,95.81,6663463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP022411.1?report=genbank&log$=nucltop&blast_rank=6&RID=0G4C4DWH013"",""CP022411.1"")"
"Pseudomonas zeae strain BIM B-582 chromosome, complete genome",Pseudomonas zeae,678,678,32%,0.0,95.12,6470456,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP102358.1?report=genbank&log$=nucltop&blast_rank=7&RID=0G4C4DWH013"",""CP102358.1"")"
"Pseudomonas sp. DTU12.3 chromosome, complete genome",Pseudomonas sp. DTU12.3,678,678,32%,0.0,95.12,6268469,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP027218.1?report=genbank&log$=nucltop&blast_rank=8&RID=0G4C4DWH013"",""CP027218.1"")"
"Pseudomonas tensinigenes strain ZA 5.3 chromosome, complete genome",Pseudomonas tensinigenes,678,678,32%,0.0,95.12,6621778,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP077089.1?report=genbank&log$=nucltop&blast_rank=9&RID=0G4C4DWH013"",""CP077089.1"")"
"Pseudomonas sp. VD-NE white chromosome, complete genome",Pseudomonas sp. VD-NE white,673,673,32%,0.0,95.28,6695895,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP134773.1?report=genbank&log$=nucltop&blast_rank=10&RID=0G4C4DWH013"",""CP134773.1"")"
"Pseudomonas sp. VD-NE ins chromosome, complete genome",Pseudomonas sp. VD-NE ins,673,673,32%,0.0,94.88,6696054,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP134772.1?report=genbank&log$=nucltop&blast_rank=11&RID=0G4C4DWH013"",""CP134772.1"")"
"Pseudomonas sp. B21-041 chromosome, complete genome",Pseudomonas sp. B21-041,673,673,32%,0.0,94.88,6414521,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP087175.1?report=genbank&log$=nucltop&blast_rank=12&RID=0G4C4DWH013"",""CP087175.1"")"
"Pseudomonas germanica strain FIT28 chromosome, complete genome",Pseudomonas germanica,673,673,32%,0.0,94.88,6713530,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP071586.1?report=genbank&log$=nucltop&blast_rank=13&RID=0G4C4DWH013"",""CP071586.1"")"
"Pseudomonas germanica strain P9_87 chromosome, complete genome",Pseudomonas germanica,673,673,32%,0.0,94.88,6530867,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP125372.1?report=genbank&log$=nucltop&blast_rank=14&RID=0G4C4DWH013"",""CP125372.1"")"
"Pseudomonas sp. VD-NE ext chromosome, complete genome",Pseudomonas sp. VD-NE ext,673,673,32%,0.0,94.88,6696047,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP134774.1?report=genbank&log$=nucltop&blast_rank=15&RID=0G4C4DWH013"",""CP134774.1"")"
"Pseudomonas zeae strain OE 48.2 chromosome, complete genome",Pseudomonas zeae,667,667,32%,0.0,94.65,6630739,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP077090.1?report=genbank&log$=nucltop&blast_rank=16&RID=0G4C4DWH013"",""CP077090.1"")"
"Pseudomonas sp. M20 chromosome, complete genome",Pseudomonas sp. M20,667,667,32%,0.0,95.05,6734998,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP173611.1?report=genbank&log$=nucltop&blast_rank=17&RID=0G4C4DWH013"",""CP173611.1"")"
"Pseudomonas sp. R84 chromosome, complete genome",Pseudomonas sp. R84,667,667,32%,0.0,94.65,6601805,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP019426.1?report=genbank&log$=nucltop&blast_rank=18&RID=0G4C4DWH013"",""CP019426.1"")"
"Pseudomonas sp. B33.4 chromosome, complete genome",Pseudomonas sp. B33.4,662,662,32%,0.0,94.42,6604192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP140706.1?report=genbank&log$=nucltop&blast_rank=19&RID=0G4C4DWH013"",""CP140706.1"")"
"Pseudomonas sp. 43A chromosome, complete genome",Pseudomonas sp. 43A,656,656,32%,0.0,94.19,6791021,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP054880.1?report=genbank&log$=nucltop&blast_rank=20&RID=0G4C4DWH013"",""CP054880.1"")"
"Pseudomonas sp. 29A chromosome, complete genome",Pseudomonas sp. 29A,656,656,32%,0.0,94.19,6775260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP059738.1?report=genbank&log$=nucltop&blast_rank=21&RID=0G4C4DWH013"",""CP059738.1"")"
"Pseudomonas sp. A34-9 chromosome, complete genome",Pseudomonas sp. A34-9,645,645,32%,5e-180,93.72,6541947,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP119967.1?report=genbank&log$=nucltop&blast_rank=22&RID=0G4C4DWH013"",""CP119967.1"")"
"Pseudomonas sp. HOU2 chromosome, complete genome",Pseudomonas sp. HOU2,640,640,32%,2e-178,93.49,6047544,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP160398.1?report=genbank&log$=nucltop&blast_rank=23&RID=0G4C4DWH013"",""CP160398.1"")"
"Pseudomonas sp. S150 chromosome, complete genome",Pseudomonas sp. S150,634,634,32%,1e-176,93.26,6304843,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP038207.1?report=genbank&log$=nucltop&blast_rank=24&RID=0G4C4DWH013"",""CP038207.1"")"
"Pseudomonas sp. B21-051 chromosome, complete genome",Pseudomonas sp. B21-051,634,634,32%,1e-176,93.26,6046332,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP087166.1?report=genbank&log$=nucltop&blast_rank=25&RID=0G4C4DWH013"",""CP087166.1"")"
"Pseudomonas sp. AN-B15 chromosome, complete genome",Pseudomonas sp. AN-B15,634,634,32%,1e-176,93.26,6301094,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP049737.1?report=genbank&log$=nucltop&blast_rank=26&RID=0G4C4DWH013"",""CP049737.1"")"
"Pseudomonas sp. SC3(2021) chromosome, complete genome",Pseudomonas sp. SC3(2021),634,634,32%,1e-176,93.63,6255857,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP082236.1?report=genbank&log$=nucltop&blast_rank=27&RID=0G4C4DWH013"",""CP082236.1"")"
"Pseudomonas koreensis strain FP1691 chromosome, complete genome",Pseudomonas koreensis,634,634,32%,1e-176,93.26,6304592,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP111114.1?report=genbank&log$=nucltop&blast_rank=28&RID=0G4C4DWH013"",""CP111114.1"")"
"Pseudomonas sp. B21_DOA chromosome, complete genome",Pseudomonas sp. B21_DOA,634,634,32%,1e-176,93.26,5940484,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP086683.1?report=genbank&log$=nucltop&blast_rank=29&RID=0G4C4DWH013"",""CP086683.1"")"
"Pseudomonas sp. B24_DOA chromosome, complete genome",Pseudomonas sp. B24_DOA,634,634,32%,1e-176,93.26,5940760,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP086682.1?report=genbank&log$=nucltop&blast_rank=30&RID=0G4C4DWH013"",""CP086682.1"")"
