Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Pseudomonas fluorescens strain CFBP2392 chromosome, complete genome",Pseudomonas fluorescens,418,418,21%,1e-111,98.33,6656414,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP133209.1?report=genbank&log$=nucltop&blast_rank=1&RID=0G4PSYP7013"",""CP133209.1"")"
"Pseudomonas zeae strain BIM B-582 chromosome, complete genome",Pseudomonas zeae,405,405,21%,8e-108,97.47,6470456,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP102358.1?report=genbank&log$=nucltop&blast_rank=2&RID=0G4PSYP7013"",""CP102358.1"")"
Pseudomonas sp. SCA2728.1_7 chromosome,Pseudomonas sp. SCA2728.1_7,401,401,21%,1e-106,97.07,6782830,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP073104.1?report=genbank&log$=nucltop&blast_rank=3&RID=0G4PSYP7013"",""CP073104.1"")"
"Pseudomonas sp. B21-041 chromosome, complete genome",Pseudomonas sp. B21-041,399,399,21%,4e-106,97.05,6414521,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP087175.1?report=genbank&log$=nucltop&blast_rank=4&RID=0G4PSYP7013"",""CP087175.1"")"
"Pseudomonas sp. P108 chromosome, complete genome",Pseudomonas sp. P108,399,399,21%,4e-106,97.05,6631596,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP126691.1?report=genbank&log$=nucltop&blast_rank=5&RID=0G4PSYP7013"",""CP126691.1"")"
"Pseudomonas sp. S49 chromosome, complete genome",Pseudomonas sp. S49,399,399,21%,4e-106,97.05,6659551,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP019432.1?report=genbank&log$=nucltop&blast_rank=6&RID=0G4PSYP7013"",""CP019432.1"")"
"Pseudomonas germanica strain FIT28 chromosome, complete genome",Pseudomonas germanica,399,399,21%,4e-106,97.05,6713530,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP071586.1?report=genbank&log$=nucltop&blast_rank=7&RID=0G4PSYP7013"",""CP071586.1"")"
"Pseudomonas germanica strain P9_87 chromosome, complete genome",Pseudomonas germanica,399,399,21%,4e-106,97.05,6530867,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP125372.1?report=genbank&log$=nucltop&blast_rank=8&RID=0G4PSYP7013"",""CP125372.1"")"
"Pseudomonas sp. 43A chromosome, complete genome",Pseudomonas sp. 43A,399,399,21%,4e-106,97.05,6791021,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP054880.1?report=genbank&log$=nucltop&blast_rank=9&RID=0G4PSYP7013"",""CP054880.1"")"
"Pseudomonas sp. 29A chromosome, complete genome",Pseudomonas sp. 29A,399,399,21%,4e-106,97.05,6775260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP059738.1?report=genbank&log$=nucltop&blast_rank=10&RID=0G4PSYP7013"",""CP059738.1"")"
"Pseudomonas sp. RU47 chromosome, complete genome",Pseudomonas sp. RU47,399,399,21%,4e-106,97.05,6663463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP022411.1?report=genbank&log$=nucltop&blast_rank=11&RID=0G4PSYP7013"",""CP022411.1"")"
"Pseudomonas zeae strain OE 48.2 chromosome, complete genome",Pseudomonas zeae,394,394,21%,2e-104,96.62,6630739,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP077090.1?report=genbank&log$=nucltop&blast_rank=12&RID=0G4PSYP7013"",""CP077090.1"")"
"Pseudomonas sp. ZY71 chromosome, complete genome",Pseudomonas sp. ZY71,388,388,21%,8e-103,96.20,6693135,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP144274.1?report=genbank&log$=nucltop&blast_rank=13&RID=0G4PSYP7013"",""CP144274.1"")"
